bank.account,duration.in.month,credit.history,purpose,credit.amount,savings,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreigner,creditability
no,24,existing credits paid back duly till now,car (new),1525,... >= 10000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,34,none,own,1,skilled employee / official,2,registered under the customers name,yes,good
yes,36,existing credits paid back duly till now,radio/television,4473,... < 1000,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,31,none,own,1,skilled employee / official,1,none,yes,good
yes,6,existing credits paid back duly till now,radio/television,1068,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,28,none,own,1,skilled employee / official,2,none,yes,good
yes,24,critical account/ other credits existing (other lender),car (used),6615,... < 1000,unemployed,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,75,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,18,critical account/ other credits existing (other lender),education,1864,1000 <= ... < 5000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,30,none,own,2,skilled employee / official,1,none,yes,bad
yes,60,existing credits paid back duly till now,car (new),7408,1000 <= ... < 5000,... < 1 year,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
no,48,critical account/ other credits existing (other lender),car (used),11590,1000 <= ... < 5000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,24,bank,rent,2,unskilled - resident,1,none,yes,bad
yes,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,23,bank,rent,2,skilled employee / official,2,none,yes,bad
yes,6,critical account/ other credits existing (other lender),furniture/equipment,3384,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,>= 7 years,real estate,44,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,13,existing credits paid back duly till now,radio/television,2101,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,guarantor,>= 7 years,building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,none,yes,good
yes,15,existing credits paid back duly till now,domestic appliances,1275,unknown/no savings,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,24,none,rent,1,skilled employee / official,1,none,yes,bad
yes,24,existing credits paid back duly till now,furniture/equipment,4169,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes,good
yes,10,existing credits paid back duly till now,furniture/equipment,1521,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,31,none,own,1,unskilled - resident,1,none,yes,good
yes,24,critical account/ other credits existing (other lender),education,5743,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,unknown / no property,24,none,for free,2,skilled employee / official,1,registered under the customers name,yes,good
yes,21,existing credits paid back duly till now,furniture/equipment,3599,... < 1000,4 <= ... < 7 years,>= 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,26,none,rent,1,unskilled - resident,1,none,yes,good
yes,18,existing credits paid back duly till now,radio/television,3213,5000 <= ... < 10000,... < 1 year,>= 35,male : married/widowed,none,4 <= ... < 7 years,real estate,25,none,rent,1,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,business,4439,... < 1000,... >= 7 years,>= 35,male : single,co-applicant,< 1 year,real estate,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,10,existing credits paid back duly till now,car (new),3949,... < 1000,... < 1 year,>= 35,male : single,guarantor,< 1 year,building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,2,none,yes,good
no,15,critical account/ other credits existing (other lender),radio/television,1459,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,43,none,own,1,unskilled - resident,1,none,yes,good
yes,13,critical account/ other credits existing (other lender),radio/television,882,... < 1000,... < 1 year,< 20,male : single,guarantor,>= 7 years,real estate,23,none,own,2,skilled employee / official,1,none,yes,good
yes,24,existing credits paid back duly till now,radio/television,3758,5000 <= ... < 10000,unemployed,>= 35,female : divorced/separated/married,none,>= 7 years,unknown / no property,23,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,good
no,6,delay in paying off in the past,business,1743,1000 <= ... < 5000,1 <= ... < 4 years,>= 35,male : single,none,1 <= ... < 4 years,real estate,34,none,own,2,unskilled - resident,1,none,yes,good
yes,9,critical account/ other credits existing (other lender),education,1136,... >= 10000,... >= 7 years,< 20,male : single,none,4 <= ... < 7 years,unknown / no property,32,none,for free,2,skilled employee / official,2,none,yes,bad
no,9,existing credits paid back duly till now,domestic appliances,1236,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,none,>= 7 years,real estate,23,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
yes,9,existing credits paid back duly till now,furniture/equipment,959,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,29,none,own,1,skilled employee / official,1,none,no,bad
no,18,critical account/ other credits existing (other lender),car (used),3229,unknown/no savings,unemployed,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,12,no credits taken/ all credits paid back duly,radio/television,6199,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,1,registered under the customers name,yes,bad
no,10,existing credits paid back duly till now,education,727,5000 <= ... < 10000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,46,none,for free,1,skilled employee / official,1,registered under the customers name,yes,good
yes,24,existing credits paid back duly till now,car (new),1246,... < 1000,... < 1 year,< 20,male : single,none,1 <= ... < 4 years,real estate,23,stores,own,1,unskilled - resident,1,none,yes,bad
no,12,critical account/ other credits existing (other lender),radio/television,2331,unknown/no savings,... >= 7 years,>= 35,male : single,co-applicant,>= 7 years,real estate,49,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,36,delay in paying off in the past,radio/television,4463,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,26,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,12,existing credits paid back duly till now,radio/television,776,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,none,1 <= ... < 4 years,real estate,28,none,own,1,skilled employee / official,1,none,yes,good
yes,30,existing credits paid back duly till now,furniture/equipment,2406,... < 1000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,>= 7 years,real estate,23,none,rent,1,skilled employee / official,1,none,yes,bad
yes,18,existing credits paid back duly till now,education,1239,unknown/no savings,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,radio/television,3399,unknown/no savings,... >= 7 years,25 <= ... < 35,male : single,none,4 <= ... < 7 years,car or other-not included in savings,37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
yes,12,delay in paying off in the past,car (new),2247,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,36,stores,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,6,existing credits paid back duly till now,furniture/equipment,1766,... < 1000,1 <= ... < 4 years,>= 35,male : married/widowed,none,1 <= ... < 4 years,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,furniture/equipment,2473,... < 1000,unemployed,< 20,male : single,none,< 1 year,car or other-not included in savings,25,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,bad
no,12,existing credits paid back duly till now,business,1542,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,>= 7 years,car or other-not included in savings,36,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,18,critical account/ other credits existing (other lender),car (used),3850,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,< 1 year,car or other-not included in savings,27,none,own,2,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,furniture/equipment,3650,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,22,none,rent,1,skilled employee / official,1,none,yes,good
yes,36,existing credits paid back duly till now,furniture/equipment,3446,... < 1000,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,42,none,own,1,skilled employee / official,2,none,yes,bad
yes,18,existing credits paid back duly till now,furniture/equipment,3001,... < 1000,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,real estate,40,none,rent,1,skilled employee / official,1,none,yes,good
no,36,existing credits paid back duly till now,car (new),3079,unknown/no savings,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,real estate,36,none,own,1,skilled employee / official,1,none,yes,good
no,18,critical account/ other credits existing (other lender),radio/television,6070,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,car or other-not included in savings,33,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
